"","e9-set3","e9-set5","e9-set6","e16-set3","e16-set4","e16-set5","e16-set6"
"ENSMUSG00000102693",0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0
"ENSMUSG00000051951",22,13,9,46,90,55,69
"ENSMUSG00000102851",0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,1,0
"ENSMUSG00000103025",0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,1
"ENSMUSG00000103161",0,0,0,0,0,0,0
"ENSMUSG00000102331",6,1,0,2,0,2,3
"ENSMUSG00000102348",0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0
"ENSMUSG00000025900",2,3,8,0,2,2,3
"ENSMUSG00000102948",0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0
"ENSMUSG00000025902",225,239,234,648,695,703,650
"ENSMUSG00000104238",1,0,2,8,3,3,8
"ENSMUSG00000102269",4,4,1,9,13,11,6
"ENSMUSG00000096126",1,3,1,1,7,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0
"ENSMUSG00000104328",2,1,0,0,1,0,0
"ENSMUSG00000102735",1,1,0,0,0,0,0
"ENSMUSG00000098104",1,4,1,0,2,5,5
"ENSMUSG00000102175",0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0,0
"ENSMUSG00000103922",24,10,9,30,34,38,30
"ENSMUSG00000033845",2576,2072,2086,1771,1727,1674,1936
"ENSMUSG00000102275",52,26,21,14,22,6,8
"ENSMUSG00000025903",4359,2883,2875,2756,2772,2798,2845
"ENSMUSG00000104217",5,6,8,2,3,5,1
"ENSMUSG00000033813",4175,3611,3686,2548,2642,3058,2758
"ENSMUSG00000062588",36,14,20,22,22,16,21
"ENSMUSG00000103280",3,0,5,0,1,1,0
"ENSMUSG00000002459",13,5,3,7,12,13,10
"ENSMUSG00000091305",0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0
"ENSMUSG00000033793",1930,1489,1526,1301,1320,1322,1292
"ENSMUSG00000104352",0,0,0,0,0,0,0
"ENSMUSG00000104046",10,16,7,2,1,0,0
"ENSMUSG00000102907",3,9,7,2,0,0,0
"ENSMUSG00000025905",182,201,140,7,5,20,7
"ENSMUSG00000103936",0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0
"ENSMUSG00000033774",5,7,4,0,0,3,0
"ENSMUSG00000103090",0,0,0,0,0,0,0
"ENSMUSG00000025907",1671,1537,1585,1402,1445,1531,1235
"ENSMUSG00000090031",181,165,209,127,163,155,75
"ENSMUSG00000087247",0,0,0,0,0,0,0
"ENSMUSG00000103355",0,1,4,3,2,1,3
"ENSMUSG00000102706",0,0,0,0,0,0,0
"ENSMUSG00000103845",1,5,8,3,5,1,11
"ENSMUSG00000033740",7,0,0,17,11,17,9
"ENSMUSG00000103329",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000102135",5,0,4,4,3,3,2
"ENSMUSG00000103282",0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0
