"","e9-set3","e9-set5","e9-set6","e12-set2","e12-set3","e12-set5","e12-set6"
"ENSMUSG00000051951",23.4303241693217,14.8545211082808,10.4512494832405,44.3787071560388,84.5622966285877,27.1340490728893,56.4732004485087
"ENSMUSG00000025902",239.628315368062,273.094657298392,271.732486564253,189.091882664861,189.304232225361,235.427778720657,193.490145798989
"ENSMUSG00000103922",25.56035363926,11.4265546986775,10.4512494832405,14.4713175508822,39.3983427474102,21.5476272049415,27.7737051386108
"ENSMUSG00000033845",2743.47795728057,2367.58213356598,2422.36738022664,1792.51386730261,1786.37851627891,1859.48042175977,1866.39298531465
"ENSMUSG00000102275",55.3807662183966,29.7090422165615,24.3862487942279,22.1893535780194,8.64841670065101,23.1437477386409,5.55474102772217
"ENSMUSG00000025903",4642.39922973059,3294.27571962873,3338.59358492405,2928.99467229856,3189.3438921623,3110.83892018007,3088.43601141352
"ENSMUSG00000033813",4446.43651849627,4126.12890169245,4280.36728835828,3252.18743093493,3751.49097770462,3475.55246213038,4049.40620920946
"ENSMUSG00000062588",38.34053045889,15.9971765781485,23.2249988516456,28.9426351017645,37.4764723694877,19.9515066712421,40.7347675366292
"ENSMUSG00000033793",2055.47843849049,1701.41399463308,1772.06741238056,1710.50973451428,1582.66025621914,1510.72808514645,1600.69120615527
"ENSMUSG00000025905",193.832681764388,229.673749443418,162.574991961519,78.1451147747641,76.8748151168979,58.258399480027,70.3600530178141
"ENSMUSG00000025907",1779.63962213348,1756.26145718673,1840.58115899291,1921.79097075716,1804.63628486918,1675.92656038434,1827.50979812059
"ENSMUSG00000090031",192.767667029419,188.538152528179,242.701237999696,157.25498405292,108.585676352618,132.478004297048,105.540079526721
"ENSMUSG00000051285",1293.99290298754,1274.06084890254,1192.603691032,1532.99490589012,1613.41018226589,1541.85243555359,1596.06225529884
"ENSMUSG00000103509",9.58513261472249,84.5565047702136,94.0612453491646,27.9778805983723,57.6561113376734,23.1437477386409,52.7700397633606
"ENSMUSG00000048538",13.8451915545992,13.711865638413,13.9349993109874,4.82377251696074,7.68748151168979,12.768964269595,8.33211154158325
"ENSMUSG00000097797",31.950442049075,19.4251429877518,22.0637489090633,30.8721441085488,13.4530926454571,17.5573258706931,14.8126427405924
"ENSMUSG00000061024",2173.69507407207,2276.16969597656,2176.18239239919,1204.0136202334,1285.73128283012,1184.32143600493,1361.83734196322
"ENSMUSG00000025911",33.0154567840441,23.9957648672228,18.5799990813165,94.5459413324306,54.7733057707897,62.2487008142755,55.5474102772217
"ENSMUSG00000079671",4.26005893987666,5.71327734933875,8.12874959807596,19.295090067843,9.60935188961223,7.18254240164717,15.7384329118795
"ENSMUSG00000025912",240.693330103032,194.251429877518,229.927488631291,301.00340505835,273.866528853949,233.831658186958,298.104435154423
"ENSMUSG00000045210",1463.33024584763,1493.45069911715,1647.81366852425,1385.38746687113,1610.52737669901,1291.26151176279,1461.82268046222
"ENSMUSG00000097893",12.78017681963,51.4194961440488,38.3212481052152,34.7311621221174,43.2420835032551,54.2680981457786,38.8831871940552
"ENSMUSG00000025915",407.900643493191,364.507094887813,291.473735588152,669.539625354151,591.936076400114,703.091095094573,664.717342984086
"ENSMUSG00000046101",35.1454862539825,35.4223195659003,29.031248564557,23.1541080814116,13.4530926454571,23.9418080054906,19.4415935970276
"ENSMUSG00000098234",831.776508010919,753.009954642848,715.329964630684,639.632235748995,548.693992896859,617.698646541657,452.711393759357
"ENSMUSG00000099032",224.718109078494,243.385615081831,267.087486793924,295.214878037998,309.421130845514,281.715274197939,295.327064640562
"ENSMUSG00000025917",4916.10801661767,4409.50745821965,4326.81728606157,3749.03600018189,4017.67002504688,4298.35259725241,4159.57523959262
"ENSMUSG00000056763",905.262524723791,1020.3913345919,1060.22119757762,809.429028346013,785.08404938132,717.456179897867,785.0700652514
"ENSMUSG00000067851",4180.18283475398,5207.08097618734,5742.38096606937,3288.84810206384,4079.16987714039,3352.65118103553,3718.89911805999
"ENSMUSG00000048960",472.86654232631,635.31644124647,788.488711013368,394.584591887389,612.115715368299,428.558363298281,535.106719003902
"ENSMUSG00000057715",13.8451915545992,3.42796640960325,0,19.295090067843,22.1015093461081,7.98060266849685,14.8126427405924
"ENSMUSG00000016918",1034.12930765506,1212.35745352968,1026.54494924274,3144.13492655501,4164.69310895794,4261.64182497732,4017.00355321441
"ENSMUSG00000025938",160.817224980344,253.669514310641,177.671241215089,93.5811868290384,159.515241367563,88.5846896203151,128.684833808897
"ENSMUSG00000005886",1826.50027047212,2937.76721302999,2840.41735955626,1893.81309015879,2623.35306586414,2094.11014021357,2558.88403343734
"ENSMUSG00000025935",3715.83641030742,2982.33077635483,2990.21860214937,3222.28004132978,3144.17993828112,3295.9889020892,3153.24132340362
"ENSMUSG00000025937",1029.86924871518,980.39839314653,869.776206994127,771.803602713719,793.732466081971,972.835465289766,799.882707991992
"ENSMUSG00000025932",46.8606483386433,74.2726055414038,70.8362464975191,96.4754503392149,76.8748151168979,111.728437358956,103.688499184147
"ENSMUSG00000025930",0,2.2853109397355,0,15.4360720542744,19.2187037792245,13.5670245364447,17.5900132544535
"ENSMUSG00000032769",1.06501473496917,2.2853109397355,1.16124994258228,32.8016531153331,23.0624445350694,21.5476272049415,30.5510756524719
"ENSMUSG00000092083",8.52011787975333,28.5663867466938,17.4187491387342,25.0836170881959,42.2811483142938,22.3456874717912,16.6642230831665
"ENSMUSG00000025925",887.157274229315,796.430862497822,752.489962793317,640.596990252387,583.287659699463,668.774503620036,584.173598082114
"ENSMUSG00000043716",29522.2084533453,27291.1832423214,27159.3136571144,24354.2626836314,23025.9289978888,27524.3005433788,22930.8967526084
"ENSMUSG00000025921",240.693330103032,236.529682262624,199.734990124152,350.20588473135,377.647529261761,314.435745138776,353.651845431645
"ENSMUSG00000025920",897.807421579007,838.709114882929,826.809959118583,1257.07511791997,1295.34063471973,1242.57983548496,1346.09890905134
"ENSMUSG00000025939",1225.83195994951,711.874357727609,794.294960726279,1021.67501909229,1135.82539335217,1128.45721732546,1065.58448715137
"ENSMUSG00000079658",4956.5785765465,3438.25030883206,3431.49358033064,3567.66215354417,3643.86623654096,3859.41945048508,3540.22161500159
"ENSMUSG00000025940",1727.45390011999,1655.70777583837,1432.98242914653,1888.02456313844,1823.8549886484,1933.70002657679,2092.28578710868
"ENSMUSG00000025779",85.2011787975333,41.135596915239,39.4824980477975,99.3697138493913,122.038768998075,130.083823496499,79.6179547306844
"ENSMUSG00000042686",364.235039359455,428.495801200407,405.276229961216,410.020663941663,517.944066850099,418.981640096085,561.028843799939
"ENSMUSG00000025777",45.7956336036741,13.711865638413,16.2574991961519,50.1672341763917,45.1639538811775,44.6913749435824,24.0705444534627
"ENSMUSG00000067780",22.3653094343525,35.4223195659003,26.7087486793924,21.2245990746273,24.0233797240306,35.9127120082358,49.0668790782125
"ENSMUSG00000025776",267.318698477261,306.231665924557,278.699986219747,410.985418445055,361.31163104942,363.117421416607,429.566639477181
"ENSMUSG00000041859",6939.63601305909,7375.84105799633,7750.18211679413,5342.81043978572,4599.99674955738,4406.88879354396,5396.43090843208
"ENSMUSG00000097934",9.58513261472249,15.9971765781485,3.48374982774684,17.3655810610587,13.4530926454571,10.3747834690459,12.0352722267314
"ENSMUSG00000025931",205.547843849049,223.960472094079,183.477490928,346.346866717781,415.124001631249,331.195010742619,429.566639477181
"ENSMUSG00000041809",12.78017681963,12.5692101685453,10.4512494832405,38.590180135686,32.6717964246816,39.9030133424843,36.1058166801941
"ENSMUSG00000041779",640.073855716469,719.872946016683,729.264963941672,792.063447284954,726.467002854685,748.580530305005,785.995855422687
"ENSMUSG00000025933",231.108197488309,162.257076721221,179.993741100253,216.105008759841,195.069843359128,209.091789914618,169.419601345526
"ENSMUSG00000028033",621.968605221993,836.423803943194,736.232463597165,622.266654687936,703.404558319616,600.939380937813,763.776891311798
"ENSMUSG00000082935",19.170265229445,10.2838992288098,12.7737493684051,6.75328152374504,11.5312222675347,17.5573258706931,16.6642230831665
"ENSMUSG00000097109",5.32507367484583,13.711865638413,15.0962492535696,18.3303355644508,24.0233797240306,5.5864218679478,11.1094820554443
"ENSMUSG00000041670",122.476694521454,46.8488742645778,31.3537484497215,170.76154710041,162.398046934447,147.641149367192,141.645896206915
"ENSMUSG00000097970",59.6408251582733,57.1327734933876,55.7399972439494,70.4270787476269,45.1639538811775,48.6816762778308,43.5121380504903
"ENSMUSG00000026158",836.036566950795,578.183667753082,479.596226286481,995.626647500698,897.513466489783,1084.56390264872,726.745284460317
"ENSMUSG00000026156",70.290972507965,70.8446391318006,88.2549956362532,67.5328152374504,73.031074361053,44.6913749435824,60.1763611336568
"ENSMUSG00000026155",1109.74535383787,1077.52410808529,1131.05744407514,1207.87263824697,1047.41935596773,1191.50397840658,910.051738375148
"ENSMUSG00000026154",591.083177907887,444.492977778555,500.498725252962,489.130533219819,512.178455716332,587.372356401369,603.615191679142
"ENSMUSG00000026153",1433.5098332685,1795.11174316224,1857.99990813165,1583.16214006652,1900.7298037653,1495.56494007631,1740.48552201961
"ENSMUSG00000026147",254.538521657631,236.529682262624,220.637489090633,2052.99758321849,1774.84729401138,1656.77311397995,2020.07415374829
"ENSMUSG00000100131",109.696517701824,54.8474625536521,51.0949974736203,135.065630474901,118.19502824223,139.660546698695,211.080159053442
"ENSMUSG00000067736",43.6656041337358,27.423731276826,9.28999954065824,24.1188625848037,38.4374075584489,32.7204709408371,50.9184594207865
"ENSMUSG00000101939",156.557166040467,50.276840674181,16.2574991961519,46.3082161628231,52.8514353928673,51.0758570783799,51.8442495920736
"ENSMUSG00000101111",198.092740704265,46.8488742645778,54.5787473013671,216.105008759841,278.671204798755,278.52303313054,257.369667617794
"ENSMUSG00000100862",291.814037381551,98.2683704086266,88.2549956362532,332.840303670291,373.803788505916,312.041564338227,327.729720635608
"ENSMUSG00000102070",226.848138548432,78.8432274208748,65.0299967846076,288.461596514253,299.811778955902,273.734671529442,264.77598898809
