"","e9-set3","e9-set5","e9-set6","e10-set2","e10-set3","e10-set5","e10-set6"
"ENSMUSG00000051951",24.0169223315734,15.2837158882249,10.72968385672,31.0658216307713,41.5055709107657,29.8225392276209,37.0117230020303
"ENSMUSG00000025902",245.627614754728,280.98523825275,278.971780274721,160.108465327821,133.16370667204,148.150678743665,167.027262778393
"ENSMUSG00000103922",26.200278907171,11.7567045294037,10.72968385672,24.6933453988182,21.6174848493571,16.3542957054695,20.8784078472992
"ENSMUSG00000033845",2812.16326936969,2435.98917849246,2486.90228056867,2163.45568074807,2018.20838553598,2357.90463377093,2242.53080650763
"ENSMUSG00000102275",56.7672709655372,30.5674317764497,25.0359289990134,8.76215481893549,17.2939878794857,23.0884174665452,22.7764449243264
"ENSMUSG00000025903",4758.62565651493,3389.4579158271,3427.53789867446,3997.13571649257,3625.68455893418,3487.31305484276,3914.70147136859
"ENSMUSG00000033813",4557.75685155996,4245.34600556769,4394.40163287445,5188.7887718678,5057.62675535559,4144.37093524486,4545.79879948014
"ENSMUSG00000062588",39.3004183607565,16.4593863411652,23.8437419038223,47.7935717396482,30.2644787891,31.7465740164996,27.5215376168944
"ENSMUSG00000033793",2106.93909545167,1750.57330442822,1819.27750726164,1826.51099998355,1686.16381824986,1698.92271857995,1796.49209340624
"ENSMUSG00000025905",198.68544837938,236.309761041015,166.906193326756,129.839203226044,134.893105459988,148.150678743665,174.619411086502
"ENSMUSG00000025907",1824.19441891178,1807.00548616936,1889.61654587792,1980.24698907942,1896.28577098561,1738.36543175197,1872.41357648733
"ENSMUSG00000090031",197.593770091581,193.985624735162,249.167102894943,186.394929784628,209.257253341777,165.466991843574,186.956652087179
"ENSMUSG00000051285",1326.38911967553,1310.87255502852,1224.37614676128,1629.760796322,1546.08251642602,1391.07715235935,1517.48064308324
"ENSMUSG00000103509",9.82510459018913,86.9996135175877,96.5671547104804,82.045631486396,104.628626670888,51.9489392997267,38.9097600790575
"ENSMUSG00000048538",14.1918177413843,14.1080454352845,14.3062451422934,15.9311905798827,14.6998896975628,12.506226127712,8.54116684662239
"ENSMUSG00000097797",32.7503486339638,19.9863976999864,22.6515548086312,14.3380715218944,23.3468836373057,34.6326261998178,23.72546346284
"ENSMUSG00000061024",2228.11538539733,2341.93554225723,2234.15861638815,1561.25667682851,1605.74677461025,1754.71972745744,1719.62159178664
"ENSMUSG00000025911",33.8420269217626,24.6890795117479,19.0749935230579,44.6073336236716,41.5055709107657,42.3287653553329,33.2156488479759
